Date,FeedIn,SelfConsumption,Production,Consumption,Purchased
2019-01-02 00:00:00,3078.0,3748.0,6826.0,16359.0,12611.0
2019-01-03 00:00:00,2821.0,6741.0,9562.0,18173.0,11432.0
2019-01-04 00:00:00,6018.0,8709.0,14727.0,18401.0,9692.0
2019-01-05 00:00:00,0.0,68.0,68.0,18796.0,18728.0
2019-01-06 00:00:00,1044.0,2240.0,3284.0,18027.0,15787.0
2019-01-07 00:00:00,1284.0,1229.0,2513.0,15960.0,14731.0
2019-01-08 00:00:00,236.0,770.0,1006.0,16752.0,15982.0
2019-01-09 00:00:00,432.0,1695.0,2127.0,22151.0,20456.0
2019-01-10 00:00:00,0.0,210.0,210.0,13992.0,13782.0
2019-01-11 00:00:00,1653.0,1067.0,2720.0,13916.0,12849.0
2019-01-12 00:00:00,735.0,1323.0,2058.0,17714.0,16391.0
2019-01-13 00:00:00,0.0,260.0,260.0,20857.0,20597.0
2019-01-14 00:00:00,1639.0,1568.0,3207.0,13941.0,12373.0
2019-01-15 00:00:00,4761.0,11257.0,16018.0,20688.0,9431.0
2019-01-16 00:00:00,9389.0,10858.0,20247.0,19696.0,8838.0
2019-01-17 00:00:00,29.0,944.0,973.0,14983.0,14039.0
2019-01-18 00:00:00,4432.0,7472.0,11904.0,17527.0,10055.0
2019-01-19 00:00:00,6253.0,14804.0,21057.0,23155.0,8351.0
2019-01-20 00:00:00,3087.0,4319.0,7406.0,21611.0,17292.0
2019-01-21 00:00:00,7075.0,7165.0,14240.0,19479.0,12314.0
2019-01-22 00:00:00,1164.0,1962.0,3126.0,18106.0,16144.0
2019-01-23 00:00:00,9974.0,5679.0,15653.0,15547.0,9868.0
2019-01-24 00:00:00,1319.0,1366.0,2685.0,15656.0,14290.0
2019-01-25 00:00:00,14618.0,8399.0,23017.0,15118.0,6719.0
2019-01-26 00:00:00,2449.0,3733.0,6182.0,18545.0,14812.0
2019-01-27 00:00:00,4843.0,5933.0,10776.0,22734.0,16801.0
